Day of the Week,Month,Open,High,Low,Close,Adj Close,Volume
3,2,510,510,510,510,510,0
4,2,510,510,510,510,510,0
5,2,515,530,515,515,515,30000
1,2,520,530,520,520,520,10000
2,2,520,530,510,510,510,10000
3,2,510,530,510,510,510,30000
4,2,510,510,510,510,510,0
5,2,510,510,510,510,510,0
2,2,510,510,510,510,510,0
3,2,510,530,510,510,510,10000
4,2,510,530,510,510,510,10000
5,2,510,530,510,510,510,20000
1,2,515,530,515,515,515,20000
2,2,515,515,515,515,515,0
3,2,515,515,515,515,515,0
4,2,515,530,515,515,515,10000
5,2,515,530,515,515,515,10000
1,3,515,530,515,515,515,10000
2,3,515,515,515,515,515,0
3,3,515,515,515,515,515,0
4,3,515,525,505,505,505,20000
5,3,505,505,505,505,505,0
1,3,505,515,495,495,495,10000
2,3,490,490,475,475,475,10000
3,3,475,485,465,465,465,10000
4,3,475,490,475,475,475,30000
5,3,475,490,475,475,475,10000
1,3,475,485,465,465,465,10000
2,3,465,465,465,465,465,0
3,3,465,480,465,465,465,10000
4,3,465,465,465,465,465,0
5,3,465,485,465,465,465,20000
1,3,465,465,465,465,465,0
2,3,470,490,470,470,470,10000
3,3,470,470,470,470,470,0
4,3,470,490,470,470,470,10000
5,3,480,490,480,480,480,40000
1,3,480,490,480,480,480,10000
2,3,480,480,480,480,480,0
3,3,480,495,480,480,480,10000
4,4,480,495,480,480,480,10000
5,4,480,480,480,480,480,0
1,4,485,500,485,485,485,70000
2,4,490,510,490,490,490,10000
3,4,490,490,490,490,490,0
4,4,505,520,505,505,505,40000
1,4,505,505,505,505,505,0
2,4,510,520,510,510,510,10000
3,4,510,510,510,510,510,0
4,4,510,525,510,510,510,10000
5,4,510,525,505,505,505,10000
1,4,505,515,500,500,500,40000
2,4,500,520,500,500,500,20000
3,4,500,500,500,500,500,0
4,4,500,500,500,500,500,0
5,4,510,520,510,510,510,20000
1,4,510,510,510,510,510,0
2,4,510,525,510,510,510,10000
3,4,510,510,510,510,510,0
4,4,510,510,510,510,510,0
5,4,510,510,510,510,510,0
1,5,510,510,510,510,510,0
2,5,510,520,505,505,505,10000
3,5,505,520,505,505,505,10000
4,5,505,520,505,505,505,10000
5,5,505,520,505,505,505,10000
1,5,510,525,510,510,510,20000
2,5,510,530,510,510,510,20000
3,5,515,530,515,515,515,10000
4,5,520,535,520,520,520,60000
5,5,520,535,520,520,520,30000
1,5,520,520,520,520,520,0
2,5,520,520,520,520,520,0
3,5,520,520,520,520,520,0
4,5,520,520,520,520,520,0
5,5,520,525,510,510,510,20000
1,5,510,525,510,510,510,10000
2,5,510,510,510,510,510,0
3,5,510,510,510,510,510,0
4,5,510,510,510,510,510,0
5,5,510,520,505,505,505,10000
2,6,505,520,505,505,505,20000
3,6,505,520,505,505,505,60000
4,6,505,520,505,505,505,10000
5,6,505,515,500,500,500,20000
1,6,500,500,500,500,500,0
2,6,500,515,495,495,495,20000
3,6,495,500,480,480,480,10000
4,6,485,500,485,485,485,40000
5,6,490,505,490,490,490,10000
1,6,490,500,485,485,485,10000
2,6,485,490,480,480,480,20000
3,6,480,480,480,480,480,0
4,6,480,480,480,480,480,0
5,6,480,490,470,470,470,60000
1,6,470,490,470,470,470,40000
2,6,475,490,475,475,475,10000
3,6,475,495,475,475,475,10000
4,6,475,475,475,475,475,0
5,6,475,475,475,475,475,0
1,6,490,505,490,490,490,10000
2,6,490,490,490,490,490,0
3,6,495,515,495,495,495,10000
4,7,495,495,495,495,495,0
